rank,stadium,capacity,region,country,city,images,home,location
1,Rungrado 1st of May Stadium,114000,East Asia,North Korea,Pyongyang,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Arirang_Mass_Games_12.JPG/150px-Arirang_Mass_Games_12.JPG,"Korea DPR national football team, Korea DPR women's national football team, April 25","['39.0496732', '125.77532151186813']"
2,Michigan Stadium,107601,North America,United States,"Ann Arbor, Michigan",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Real_Madrid_vs._Machester_United_August_2nd%2C_2014.jpg/150px-Real_Madrid_vs._Machester_United_August_2nd%2C_2014.jpg,Michigan Wolverines football,"['42.2658652', '-83.74868376764053']"
3,Ohio Stadium,102780,North America,United States,"Columbus, Ohio",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Panoramic_view_of_Ohio_Stadium.jpg/150px-Panoramic_view_of_Ohio_Stadium.jpg,Ohio State Buckeyes football,"['40.00164575', '-83.01973744224524']"
4,Melbourne Cricket Ground,100024,Oceania,Australia,"Melbourne, Victoria",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/MCG_Panorama_24_July_2015.jpg/150px-MCG_Panorama_24_July_2015.jpg,"Australia national cricket team, Victoria cricket team, Melbourne Cricket Club, Melbourne Stars, Melbourne FC, Richmond FC, Collingwood FC, Hawthorn FC","['-37.819908999999996', '144.98322500667754']"
5,Spotify Camp Nou,99354,Europe,Spain,"Barcelona, Catalonia",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Camp_Nou_Experience_%28_Ank_Kumar%2C_INFOSYS_Limited_%29_07.jpg/150px-Camp_Nou_Experience_%28_Ank_Kumar%2C_INFOSYS_Limited_%29_07.jpg,FC Barcelona,"['41.38089905', '2.122922500751749']"
6,Estadio Azteca,95500,North America,Mexico,Mexico City,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Panor%C3%A1mica_esquina_noreste.jpg/150px-Panor%C3%A1mica_esquina_noreste.jpg,"Club América, Cruz Azul, Mexico national football team","['19.302979399999998', '-99.1504699525862']"
7,FNB Stadium,94736,Africa,South Africa,"Johannesburg, Gauteng",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/First_game_of_the_2010_FIFA_World_Cup%2C_South_Africa_vs_Mexico.jpg/150px-First_game_of_the_2010_FIFA_World_Cup%2C_South_Africa_vs_Mexico.jpg,"South Africa national football team, Kaizer Chiefs","['-26.234706250000002', '27.98264390042038']"
8,New Administrative Capital Stadium,93940,Africa,Egypt,New Administrative Capital,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/The_New_administrative_stadium_of_Egypt.jpg/150px-The_New_administrative_stadium_of_Egypt.jpg,Egypt national football team,"['29.892173800000002', '31.673226988093376']"
9,Rose Bowl Stadium,92800,North America,United States,"Pasadena, California",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Rose_Bowl%2C_panorama.jpg/150px-Rose_Bowl%2C_panorama.jpg,UCLA Bruins,"['34.16134915000001', '-118.16766739828785']"
10,Cotton Bowl Stadium,92100,North America,United States,"Dallas, Texas",https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/2019_State_Fair_Classic_01_%28Cotton_Bowl%29.jpg/150px-2019_State_Fair_Classic_01_%28Cotton_Bowl%29.jpg,,"['32.77961185', '-96.7596025290281']"
11,Wembley Stadium,90000,Europe,England,"London, England",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Post_L2_Play-Off_Final.jpg/150px-Post_L2_Play-Off_Final.jpg,England national football team,"['51.55606945', '-0.27960339379401444']"
12,Lusail Stadium,88966,West Asia,Qatar,Lusail,https://upload.wikimedia.org/wikipedia/en/thumb/a/a3/Lusail_Stadium.jpg/150px-Lusail_Stadium.jpg,Qatar national football team,"['25.420906199999997', '51.490478353780674']"
13,Bukit Jalil National Stadium,87411,Southeast Asia,Malaysia,Kuala Lumpur,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/National_Stadium_Bukit_Jalil_2018_AFF_Suzuki_Cup_final.png/150px-National_Stadium_Bukit_Jalil_2018_AFF_Suzuki_Cup_final.png,Malaysia national football team,"['3.0546755', '101.69136903264581']"
14,Borg el-Arab Stadium,86000,Africa,Egypt,Alexandria,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Borg_el_arab_stadium.jpg/150px-Borg_el_arab_stadium.jpg,"Egypt national football team, Al Ittihad, Smouha","['30.999469599999998', '29.729432153566332']"
15,Estadio Santiago Bernabéu,85000,Europe,Spain,Madrid,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Bernab%C3%A9u_despu%C3%A9s_de_la_reforma.jpg/150px-Bernab%C3%A9u_despu%C3%A9s_de_la_reforma.jpg,Real Madrid,"['40.4530225', '-3.6874219587470445']"
16,Estadio Mâs Monumental,84567,South America,Argentina,Buenos Aires,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Estadio_Monumental.jpg/150px-Estadio_Monumental.jpg,"Argentina national football team, River Plate","['-34.5448529', '-58.4486659']"
17,Stadium Australia,83500,Oceania,Australia,"Sydney, New South Wales",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/State_of_Origin_Game_II_2018.jpg/150px-State_of_Origin_Game_II_2018.jpg,"South Sydney Rabbitohs, Canterbury-Bankstown Bulldogs, New South Wales Blues, New South Wales Waratahs, Australia men's national soccer team, Australia national rugby union team","['-33.8471082', '151.06338484469373']"
18,MetLife Stadium,82500,North America,United States,"East Rutherford, New Jersey",https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Copa_America_game_between_Columbia_vs_Peru_at_the_MetLife_Stadium.jpg/150px-Copa_America_game_between_Columbia_vs_Peru_at_the_MetLife_Stadium.jpg,"New York Giants, New York Jets, United States men's national soccer team","['40.81352375', '-74.07340074891175']"
19,Croke Park,82300,Europe,Ireland,Dublin,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Croke_park_all_ireland.jpg/150px-Croke_park_all_ireland.jpg,"Gaelic Athletic Association, Dublin GAA","['53.36035755', '-6.2509811826224695']"
20,Jakarta International Stadium,82000,Southeast Asia,Indonesia,Jakarta,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Jakarta_International_Stadium_from_Toll_road.jpg/150px-Jakarta_International_Stadium_from_Toll_road.jpg,"Persija Jakarta, Indonesia national football team","['-6.12507475', '106.86020095899971']"
21,Lambeau Field,81441,North America,United States,"Green Bay, Wisconsin",https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Lambeau_Field_bowl.jpg/150px-Lambeau_Field_bowl.jpg,Green Bay Packers,"['44.50095825', '-88.06103404376007']"
22,SIGNAL IDUNA PARK,81365,Europe,Germany,Dortmund,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Signal_iduna_park.jpg/150px-Signal_iduna_park.jpg,Borussia Dortmund,"['51.4924922', '7.451854850900588']"
23,Stade de France,81338,Europe,France,Saint-Denis,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/StadeFranceNationsLeague2018.jpg/150px-StadeFranceNationsLeague2018.jpg,France national football team,"['48.924472550000004', '2.3601325226927248']"
24,Grand Sports Arena of the Luzhniki Olympic Complex,81000,Europe,Russia,Moscow,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Luzhniki_Stadium2.jpg/150px-Luzhniki_Stadium2.jpg,,"['55.7157445', '37.553767298728005']"
25,Shah Alam Stadium,80372,Southeast Asia,Malaysia,"Shah Alam, Selangor",https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Shah_Alam_Stadium_%28inside%29.jpg/150px-Shah_Alam_Stadium_%28inside%29.jpg,Selangor FA,"['3.0838218', '101.5456258304308']"
26,Estadio Monumental,80093,South America,Peru,Lima,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/EstadioUniversitario.jpg/150px-EstadioUniversitario.jpg,Club Universitario de Deportes,"['-12.055647350000001', '-76.93533392205805']"
27,Stadio Giuseppe Meazza,80018,Europe,Italy,"Milan, Lombardy",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Stadio_Giuseppe_Meazza%2C_San_Siro%2C_Milan_%283326869632%29.jpg/150px-Stadio_Giuseppe_Meazza%2C_San_Siro%2C_Milan_%283326869632%29.jpg,AC Milan and Internazionale,"['45.478200349999995', '9.123963993342393']"
28,Guangdong Olympic Stadium,80012,East Asia,China,"Guangzhou, Guangdong",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Stade_Olympique_Guangdong.JPG/150px-Stade_Olympique_Guangdong.JPG,,"['23.13803625', '113.4034296289701']"
29,Hangzhou Olympic Sports Expo Centre Stadium,80000,East Asia,China,"Hangzhou, Zhejiang",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Hangzhou_Olympic_Sports_Center_Stadium2021.jpg/150px-Hangzhou_Olympic_Sports_Center_Stadium2021.jpg,,"['30.2317101', '120.2254883982873']"
30,AT&T Stadium,80000,North America,United States,"Arlington, Texas",https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Cowboys_Stadium_full_view.jpg/150px-Cowboys_Stadium_full_view.jpg,"Dallas Cowboys, FC Dallas","['47.59397', '14.12456']"
31,Stade des Martyrs,80000,Africa,DR Congo,Kinshasa,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Stade_des_martyrs_0332_Kinshasa_%288756673901%29.jpg/150px-Stade_des_martyrs_0332_Kinshasa_%288756673901%29.jpg,Congo DR national football team,"['-5.9280630500000004', '22.309602960470944']"
32,Stade Tata Raphaël,80000,Africa,DR Congo,Kinshasa,https://upload.wikipedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"AS Vita Club, DC Motema Pembe","['-4.3379266', '15.322629719585613']"
33,National Sports Stadium,80000,Africa,Zimbabwe,Harare,https://upload.wikipedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Zimbabwe national football team,"['-17.821414949999998', '30.99507351306328']"
34,Moi International Sports Centre,80000,Africa,Kenya,Nairobi,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Inside_the_Kasarani_Stadium.jpg/150px-Inside_the_Kasarani_Stadium.jpg,Kenya national football team,"['-1.2275475', '36.89018198200233']"
35,Beijing National Stadium,80000,East Asia,China,Beijing,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Beijing_National_Stadium_2014_2.jpg/150px-Beijing_National_Stadium_2014_2.jpg,,"['40.0160281', '116.37138413391611']"
36,Stade Léopold Sédar Senghor,80000,Africa,Senegal,Dakar,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Senegal_1_-_Cameroon_0_-_Stade_L%C3%A9opold_S%C3%A9dar_Senghor.jpg/150px-Senegal_1_-_Cameroon_0_-_Stade_L%C3%A9opold_S%C3%A9dar_Senghor.jpg,"Senegal national football team, ASC Jeanne d'Arc","['14.74677165', '-17.451914038718378']"
37,Maracanã,78838,South America,Brazil,"Rio de Janeiro, Rio de Janeiro",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Bosnia_players_at_Maracan%C3%A3_15_June_2014.jpg/150px-Bosnia_players_at_Maracan%C3%A3_15_June_2014.jpg,"CR Flamengo, Fluminense FC, Botafogo FR, CR Vasco da Gama","['-22.912161949999998', '-43.23118606002972']"
38,Los Angeles Memorial Coliseum,78467,North America,United States,"Los Angeles, California",https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/USC_vs_University_of_Oregon_November_2019.png/150px-USC_vs_University_of_Oregon_November_2019.png,USC Trojans,"['34.0139923', '-118.28802864848308']"
39,Azadi Stadium,78116,West Asia,Iran,Tehran,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Azadi_Stadium_%287%29.jpg/150px-Azadi_Stadium_%287%29.jpg,"Iran national football team, Esteghlal FC, Persepolis FC","['35.7244962', '51.27554872157586']"
40,Stadion Utama Gelora Bung Karno,77193,Southeast Asia,Indonesia,Jakarta,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Gbk_persija_arema_20190803.jpg/150px-Gbk_persija_arema_20190803.jpg,"Indonesia national football team,","['-6.21853605', '106.80263531965792']"
41,Caesar's Superdome,76468,North America,United States,"New Orleans, Louisiana",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/The_Dome_New_Orleans_Man_Trip.jpg/150px-The_Dome_New_Orleans_Man_Trip.jpg,"New Orleans Saints, Sugar Bowl",
42,Arrowhead Stadium,76412,North America,United States,"Kansas City, Missouri",https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/25_July_2010_Kansas_City_Wizards_vs_Manchester_United_friendly.jpg/150px-25_July_2010_Kansas_City_Wizards_vs_Manchester_United_friendly.jpg,Kansas City Chiefs,"['39.0751128', '-78.191289']"
43,Empower Field,76125,North America,United States,Denver,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/SAF_at_Mile_High_AFC_Championship_game_pom-poms.jpg/150px-SAF_at_Mile_High_AFC_Championship_game_pom-poms.jpg,Denver Broncos,"['39.743952', '-105.01922281236835']"
44,Atatürk Olimpiyat Stadyumu,76092,Europe,Turkey,Istanbul,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Istanbul_Atat%C3%BCrk_Olympic_Stadium_2.jpg/150px-Istanbul_Atat%C3%BCrk_Olympic_Stadium_2.jpg,,"['41.0744732', '28.76566105174166']"
45,Old Trafford,76000,Europe,England,"Manchester, North West England",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Manchester_United_old_trafford_Ank_Kumar_01.jpg/150px-Manchester_United_old_trafford_Ank_Kumar_01.jpg,Manchester United,"['53.46310955', '-2.2913864850545362']"
46,Allianz Arena,75024,Europe,Germany,Munich,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Allainz_Arena_%28Bayern_Munich%29.jpg/150px-Allainz_Arena_%28Bayern_Munich%29.jpg,FC Bayern Munich,"['48.21880845', '11.624663762591622']"
47,Naghsh-e-Jahan Stadium,75000,West Asia,Iran,Isfahan,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Naghsh_Jahan_Stadium.jpg/150px-Naghsh_Jahan_Stadium.jpg,Sepahan FC,"['32.742455750000005', '51.68618101216669']"
48,Bank of America Stadium,74867,North America,United States,"Charlotte, North Carolina",https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Bank_of_America_Stadium_soccer.jpg/150px-Bank_of_America_Stadium_soccer.jpg,"Charlotte FC, Carolina Panthers","['35.225737', '-80.8527666409835']"
49,Millennium Stadium,74500,Europe,Wales,Cardiff,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Millennium_Stadium_-_Glanmor%E2%80%99s_Gap.jpg/150px-Millennium_Stadium_-_Glanmor%E2%80%99s_Gap.jpg,Wales national football team,"['51.4782493', '-3.1836667006651895']"
50,Olympiastadion,74475,Europe,Germany,Berlin,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Berlin_Olympiastadion_nach_Umbau.jpg/150px-Berlin_Olympiastadion_nach_Umbau.jpg,Hertha BSC,"['52.5145846', '13.239814417756278']"
51,Cairo International Stadium,74100,Africa,Egypt,Cairo,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Cairo_Stadium_Afcon_u23_2019.jpg/150px-Cairo_Stadium_Afcon_u23_2019.jpg,"Egypt national football team, Al Ahly, Zamalek","['30.069115099999998', '31.31220638047715']"
52,FirstEnergy Stadium,73200,North America,United States,Cleveland,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/FirstEnergy_Stadium_panorama_2016.jpg/150px-FirstEnergy_Stadium_panorama_2016.jpg,Cleveland Browns,"['41.5060559', '-81.69971184525946']"
53,Estádio Nacional Mané Garrincha,72788,South America,Brazil,"Brasília, Distrito Federal",https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Est%C3%A1dio_Nacional_Bras%C3%ADlia.jpg/150px-Est%C3%A1dio_Nacional_Bras%C3%ADlia.jpg,"Brasília FC, Legião FC","['-15.783749799999999', '-47.8990287459102']"
54,Stadio Olimpico,72698,Europe,Italy,"Rome, Lazio",https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/The_Stadio_Olimpico_during_a_match_between_AS_Roma_and_Sampdoria.jpg/150px-The_Stadio_Olimpico_during_a_match_between_AS_Roma_and_Sampdoria.jpg,"AS Roma, Lazio","['41.933942349999995', '12.454770497133222']"
55,Nissan Stadium,72327,East Asia,Japan,"Yokohama, Kanagawa",https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/International_Stadium_Yokohama-1.jpg/150px-International_Stadium_Yokohama-1.jpg,"Yokohama F. Marinos, Yokohama Eagles","['35.5099882', '139.60638254387774']"
56,NRG Stadium,72220,North America,United States,"Houston, Texas",https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/The_Texans_at_Reliant_Park_1_Jan_2012.jpg/150px-The_Texans_at_Reliant_Park_1_Jan_2012.jpg,"Houston Texans, Houston Dynamo FC","['29.6848581', '-95.41080145326987']"
57,Shanghai Stadium,72000,East Asia,China,Shanghai,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Shanghai_Stadium_2008.JPG/150px-Shanghai_Stadium_2008.JPG,Shanghai Shenhua,"['31.1832135', '121.4373206894592']"
58,M&T Bank Stadium,71008,North America,United States,Baltimore,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/M%26T_Bank_Stadium_USA_soccer.JPG/150px-M%26T_Bank_Stadium_USA_soccer.JPG,Baltimore Ravens,"['2.3293744', '102.2880962']"
59,Mercedes-Benz Stadium,71000,North America,United States,"Atlanta, Georgia",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Mercedes_Benz_Stadium_interior_2017-08-25_1.jpg/150px-Mercedes_Benz_Stadium_interior_2017-08-25_1.jpg,"Atlanta United FC, Atlanta Falcons","['33.7554123', '-84.40084932004368']"
60,Olympic National Sports Complex Stadium,70000,Europe,Ukraine,Kyiv,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Kyiv_NSC_Olimpiyskyi_5.jpg/150px-Kyiv_NSC_Olimpiyskyi_5.jpg,"Ukraine national football team, FC Dynamo Kyiv","['50.43339675', '30.52301744390926']"
61,SoFi Stadium,70000,North America,United States,"Inglewood, California",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/SoFi_Stadium_interior_2021.jpg/150px-SoFi_Stadium_interior_2021.jpg,,"['33.95340735', '-118.33900981025587']"
62,Seoul Olympic Stadium,69950,East Asia,South Korea,Seoul,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/%E8%9A%95%E5%AE%A4_03.jpg/150px-%E8%9A%95%E5%AE%A4_03.jpg,,"['37.51586315', '127.07278913760146']"
63,Bakı Olimpiya stadionu,69870,West Asia,Azerbaijan,Baku,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Chelsea_won_UEFA_Europa_League_final_at_Olympic_Stadium_and_President_Ilham_Aliyev_watched_the_final_match_16.jpg/150px-Chelsea_won_UEFA_Europa_League_final_at_Olympic_Stadium_and_President_Ilham_Aliyev_watched_the_final_match_16.jpg,Azerbaijan national football team,"['40.429982', '49.91953099830299']"
64,Olympic Stadium,69618,Europe,Greece,"Marousi, Attica",https://upload.wikimedia.org/wikipedia/en/thumb/d/d6/Olympic_Stadium_at_Athens_before_a_home_game_of_Panathinaikos_on_February_2%2C_2013.jpg/150px-Olympic_Stadium_at_Athens_before_a_home_game_of_Panathinaikos_on_February_2%2C_2013.jpg,Greece national football team,"['38.0325514', '23.7944433']"
65,Olympiastadion München,69250,Europe,Germany,Munich,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/M%C3%BCnchener_Olympiastadion.jpg/150px-M%C3%BCnchener_Olympiastadion.jpg,,"['48.1731314', '11.54647863541194']"
66,Lumen Field,69000,North America,United States,"Seattle, Washington",https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Qwest_Field_North.jpg/150px-Qwest_Field_North.jpg,"Seattle Sounders FC, Seattle Seahawks","['47.5953459', '-122.33164431196111']"
67,Estadio Olímpico Universitario,68954,North America,Mexico,Mexico City,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Estadio_Pumas.jpg/150px-Estadio_Pumas.jpg,UNAM Pumas,"['19.33175425', '-99.1922849721723']"
68,Gillette Stadium,68756,North America,United States,"Foxborough, Massachusetts",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Stadiumguillete_%28cropped%29.jpg/150px-Stadiumguillete_%28cropped%29.jpg,"New England Patriots, New England Revolution","['42.091252600000004', '-71.2644646105907']"
69,King Abdullah Sports City Stadium,68560,West Asia,Saudi Arabia,Jeddah,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Jawhara_Stadium.jpg/150px-Jawhara_Stadium.jpg,"Saudi Arabia national football team, Al-Ahli Saudi FC, Al-Ittihad Saudi Club","['26.37904815', '43.94771723895871']"
70,Lincoln Financial Field,68532,North America,United States,Philadelphia,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/USA-Turkey-Linc.jpg/150px-USA-Turkey-Linc.jpg,"Philadelphia Eagles, Temple Owls football","['39.9009099', '-75.16748915605905']"
