rank,stadium,capacity,region,country,city,images,home,location
71,Levi's Stadium,68500,North America,United States,"Santa Clara, California",https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Entering_Levi%27s_Stadium.JPG/150px-Entering_Levi%27s_Stadium.JPG,San Francisco 49ers,"['37.403158250000004', '-121.96983144425579']"
72,Acrisure Stadium,68400,North America,United States,Pittsburgh,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Heinz_Field_NHL_Winter_Classic.jpg/150px-Heinz_Field_NHL_Winter_Classic.jpg,"Pittsburgh Steelers, Pittsburgh Panthers football","['40.4467166', '-80.01574564331888']"
73,Gazprom Arena,68134,Europe,Russia,Saint Petersburg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Fina-l2017.jpg/150px-Fina-l2017.jpg,FC Zenit Saint Petersburg,"['59.9723766', '30.221060751610707']"
74,Salt Lake Stadium,68000,South Asia,India,Kolkata,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Salt_Lake_Stadium_during_FIFA_U17_World_Cup_2017_....jpg/150px-Salt_Lake_Stadium_during_FIFA_U17_World_Cup_2017_....jpg,"India national football team, Mohun Bagan Super Giant, East Bengal FC, Mohammedan SC","['22.5731115', '88.4030891']"
75,National Stadium,68000,East Asia,Japan,Tokyo,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Drones_durante_a_abertura_das_Olimp%C3%ADadas_de_T%C3%B3quio.jpg/150px-Drones_durante_a_abertura_das_Olimp%C3%ADadas_de_T%C3%B3quio.jpg,,"['35.67785955', '139.71351420013758']"
76,TIAA Bank Field,67814,North America,United States,"Jacksonville, Florida",https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/2009_Gator_Bowl.jpg/150px-2009_Gator_Bowl.jpg,Jacksonville Jaguars,"['30.32398105', '-81.63730457034035']"
77,Cívitas Metropolitano,70460,Europe,Spain,Madrid,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Wanda-Metropolitano.jpg/150px-Wanda-Metropolitano.jpg,Atlético de Madrid,"['40.436052950000004', '-3.599715809726445']"
78,Orange Vélodrome,67394,Europe,France,Marseille,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Stade_V%C3%A9lodrome_1.jpg/150px-Stade_V%C3%A9lodrome_1.jpg,Olympique de Marseille,"['43.26983495', '5.395911664099216']"
79,Puskás Aréna,67215,Europe,Hungary,Budapest,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Pusk%C3%A1s_Ar%C3%A9na_01.jpg/150px-Pusk%C3%A1s_Ar%C3%A9na_01.jpg,Hungary national football team,"['47.50310895', '19.098050892074227']"
80,Scottish Gas Murrayfield Stadium,67144,Europe,Scotland,Edinburgh,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Murrayfield_Stadium_-_geograph.org.uk_-_1246737.jpg/150px-Murrayfield_Stadium_-_geograph.org.uk_-_1246737.jpg,Scotland national rugby union team,"['55.9421085', '-3.241161216394731']"
81,Lucas Oil Stadium,67000,North America,United States,"Indianapolis, Indiana",https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/LucasOilStadiumTheLuke.jpg/150px-LucasOilStadiumTheLuke.jpg,Indianapolis Colts,"['39.7590621', '-86.16383761053042']"
82,MorumBIS,66975,South America,Brazil,"São Paulo, São Paulo",https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Estadio_Morumbi_2014.jpg/150px-Estadio_Morumbi_2014.jpg,São Paulo FC,"['-23.60005845', '-46.720158347269496']"
83,The Dome,66965,North America,United States,St. Louis,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/2005_NCAA_North_Carolina_v_Michigan_State.JPG/150px-2005_NCAA_North_Carolina_v_Michigan_State.JPG,St. Louis BattleHawks,"['36.275815', '-112.9001983']"
84,Yadegar-e-Emam Stadium,66833,West Asia,Iran,Tabriz,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Yadegar_Emam_stadium_at_night_-_panoramio.jpg/150px-Yadegar_Emam_stadium_at_night_-_panoramio.jpg,Tractor Sazi FC,"['38.0738612', '46.2978789']"
85,Seoul World Cup Stadium,66704,East Asia,South Korea,Seoul,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/AFC_Champions_League_Final_1st_leg.jpg/150px-AFC_Champions_League_Final_1st_leg.jpg,FC Seoul,"['37.5683021', '126.89724766470337']"
86,US Bank Stadium,66655,North America,United States,Minneapolis,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Looking_South-US_Bank_Stadium.jpg/150px-Looking_South-US_Bank_Stadium.jpg,Minnesota Vikings,"['44.97361545', '-93.25746628273055']"
87,Daegu Stadium,66422,East Asia,South Korea,Daegu,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Daegu.Stadium.original.2167.jpg/150px-Daegu.Stadium.original.2167.jpg,Daegu FC,"['35.8297517', '128.6901254233253']"
88,Workers' Stadium,66161,East Asia,China,Beijing,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/New_Workers%27_Stadium_under_construction_%2820221025141129%29.jpg/150px-New_Workers%27_Stadium_under_construction_%2820221025141129%29.jpg,"Beijing Guoan, China national football team","['39.92951015', '116.44099518054804']"
89,London Stadium,66000,Europe,England,London,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/London_Stadium_panorama_picture.jpg/150px-London_Stadium_panorama_picture.jpg,West Ham United,"['51.53862065', '-0.016623759002470637']"
90,Raymond James Stadium,65847,North America,United States,"Tampa, Florida",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/RaymondJamesStadium2022.jpg/150px-RaymondJamesStadium2022.jpg,"Tampa Bay Buccaneers, South Florida Bulls football, Tampa Bay Vipers","['27.97597925', '-82.50421799673616']"
91,Hard Rock Stadium,65326,North America,United States,"Miami Gardens, Florida",https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Interior_of_updated_Hard_Rock_Stadium.jpg/150px-Interior_of_updated_Hard_Rock_Stadium.jpg,"Miami Dolphins, Miami Hurricanes football","['25.95790315', '-80.24001919530573']"
92,Olympic Stadium,65255,North America,Canada,"Montreal, Quebec",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Montreal_Impact_CONCACAF_FINAL.jpg/150px-Montreal_Impact_CONCACAF_FINAL.jpg,CF Montréal,"['45.55779835', '-73.55164580516643']"
93,Basra International Stadium,65227,West Asia,Iraq,Basra,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Basra_International_Stadium_Opening_2.JPG/150px-Basra_International_Stadium_Opening_2.JPG,Iraq national football team,"['30.4399273', '47.7798634136076']"
94,Camping World Stadium,65000,North America,United States,"Orlando, Florida",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Citrus_Bowl%2C_Construction_progress.jpg/150px-Citrus_Bowl%2C_Construction_progress.jpg,,"['28.5390623', '-81.4027485783759']"
95,Alamodome,65000,North America,United States,San Antonio,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Alamodome_Conference_USA_Championship.jpg/150px-Alamodome_Conference_USA_Championship.jpg,UTSA Roadrunners football,"['29.4168923', '-98.47889487569296']"
96,Ford Field,65000,North America,United States,Detroit,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/FordField-2008NCAAtournament-MidwestRegional.jpg/150px-FordField-2008NCAAtournament-MidwestRegional.jpg,Detroit Lions,"['42.33995675', '-83.04561657403696']"
97,Stade Ibn Battuta,65000,Africa,Morocco,Tangier,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Stade_Ibn_Batuta%2C_Tanger.jpg/150px-Stade_Ibn_Batuta%2C_Tanger.jpg,IR Tanger,"['35.74124485', '-5.858075642406442']"
98,Estádio do Sport Lisboa e Benfica,64642,Europe,Portugal,Lisbon,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/LuzLissabon.jpg/150px-LuzLissabon.jpg,Benfica,"['38.7526893', '-9.184689881825172']"
99,Stade du 5-juillet-1962,64000,Africa,Algeria,Algiers,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Stade_5_Juillet_1962.jpg/150px-Stade_5_Juillet_1962.jpg,Algeria national football team,"['36.75951425', '2.9952724128175774']"
100,Castelão,63903,South America,Brazil,"Fortaleza, Ceará",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Castel%C3%A3o_Arena_%285%29.jpg/150px-Castel%C3%A3o_Arena_%285%29.jpg,"Ceará SC, Fortaleza EC","['-2.54875695', '-44.260951338681295']"
101,Saitama Stadium 2002,63700,East Asia,Japan,Saitama,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Saitama_Stadium_Panorama.jpg/150px-Saitama_Stadium_Panorama.jpg,"Urawa Red Diamonds, Saitama Wild Knights","['35.90308', '139.7168256210814']"
102,Ellis Park Stadium,62567,Africa,South Africa,"Johannesburg, Gauteng",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Warm-ups_at_Brazil_%26_North_Korea_match_at_FIFA_World_Cup_2010-06-15_1.jpg/150px-Warm-ups_at_Brazil_%26_North_Korea_match_at_FIFA_World_Cup_2010-06-15_1.jpg,"Orlando Pirates FC, Emirates Johannesburg Lions","['-26.197478850000003', '28.06076823792536']"
103,Tottenham Hotspur Stadium,62303,Europe,England,London,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Spurs_stadium_January_2020.jpg/150px-Spurs_stadium_January_2020.jpg,Tottenham Hotspur,"['51.604157', '-0.0662604100000004']"
104,VELTINS-Arena,62271,Europe,Germany,Gelsenkirchen,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/080110_schalke_arena_germany.JPG/150px-080110_schalke_arena_germany.JPG,FC Schalke 04,"['51.55459375', '7.06760006899412']"
105,Yizhong Sports Centre Stadium,62000,East Asia,China,"Qingdao, Shandong",https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Qingdao_Guoxin_Stadium.jpg/150px-Qingdao_Guoxin_Stadium.jpg,Qingdao Jonoon FC,"['36.0637967', '120.3192081']"
106,Estádio Governador Magalhães Pinto,61846,South America,Brazil,"Belo Horizonte, Minas Gerais",https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Stadion_Belo_Horizonte_Halbfinale_WM_2014_%2822117986076%29.jpg/150px-Stadion_Belo_Horizonte_Halbfinale_WM_2014_%2822117986076%29.jpg,"Atlético Mineiro, Cruzeiro EC","['-19.865911500000003', '-43.971043404332164']"
107,King Fahd International Stadium,61781,West Asia,Saudi Arabia,Riyadh,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/%E3%82%AD%E3%83%B3%E3%82%B0%E3%83%95%E3%82%A1%E3%83%8F%E3%83%89%E5%9B%BD%E9%9A%9B%E3%82%B9%E3%82%BF%E3%82%B8%E3%82%A2%E3%83%A0.jpg/150px-%E3%82%AD%E3%83%B3%E3%82%B0%E3%83%95%E3%82%A1%E3%83%8F%E3%83%89%E5%9B%BD%E9%9A%9B%E3%82%B9%E3%82%BF%E3%82%B8%E3%82%A2%E3%83%A0.jpg,"Saudi Arabia national football team, Al-Hilal, Al-Nassr, Al-Shabab","['24.7885806', '46.83914486009958']"
108,Soldier Field,61500,North America,United States,Chicago,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/The_Refurbished_Soldier_Field.jpg/150px-The_Refurbished_Soldier_Field.jpg,Chicago Bears,"['41.8623356', '-87.61764770075143']"
109,Nanjing Olympic Sports Centre Stadium,61443,East Asia,China,"Nanjing, Jiangsu",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Nanjing_Olympic_Sports_Center_inner_view_%282016%29.jpg/150px-Nanjing_Olympic_Sports_Center_inner_view_%282016%29.jpg,,"['32.010682450000004', '118.71975425408809']"
110,Anfield,65000,Europe,England,"Liverpool, England",https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Panorama_of_Anfield_with_new_main_stand_%2829676137824%29.jpg/150px-Panorama_of_Anfield_with_new_main_stand_%2829676137824%29.jpg,Liverpool FC,"['53.430828', '-2.9608432174211456']"
111,Estadio Benito Villamarín,60720,Europe,Spain,Seville,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Estadio_Benito_Villamar%C3%ADn_2018001.jpg/150px-Estadio_Benito_Villamar%C3%ADn_2018001.jpg,Real Betis,"['37.356535449999996', '-5.981756556248882']"
112,Abuja Stadium,60491,Africa,Nigeria,Abuja,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Football_heaven.jpg/150px-Football_heaven.jpg,Nigeria national football team,"['9.0643305', '7.4892974']"
113,MHPArena,60469,Europe,Germany,Stuttgart,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Neckarstadion_2011.jpg/150px-Neckarstadion_2011.jpg,VfB Stuttgart,"['48.8911701', '9.18242015717697']"
114,Celtic Park,60411,Europe,Scotland,Glasgow,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Celtic_park_2.jpg/150px-Celtic_park_2.jpg,Celtic FC,"['55.8497578', '-4.205468869948476']"
115,Estadio de la UNSA,60370,South America,Peru,Arequipa,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/OutsideUNSA.jpg/150px-OutsideUNSA.jpg,FBC Melgar,"['-16.4073043', '-71.52046853862656']"
116,Emirates Stadium,60338,Europe,England,London,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Emirates_Stadium_-_East_stand_Club_Level.jpg/150px-Emirates_Stadium_-_East_stand_Club_Level.jpg,Arsenal,"['51.55504035', '-0.1083996708672374']"
117,Shenzhen Universiade Sports Centre Stadium,60334,East Asia,China,"Shenzhen, Guangdong",https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/%E6%B7%B1%E5%9C%B3%E9%BE%99%E5%B2%97%E5%A4%A7%E8%BF%90%E4%B8%AD%E5%BF%83%E4%BD%93%E8%82%B2%E9%A6%86%E5%86%85%E9%83%A8.jpg/150px-%E6%B7%B1%E5%9C%B3%E9%BE%99%E5%B2%97%E5%A4%A7%E8%BF%90%E4%B8%AD%E5%BF%83%E4%BD%93%E8%82%B2%E9%A6%86%E5%86%85%E9%83%A8.jpg,,"['22.6969481', '114.21233392711093']"
118,Estadio Centenario,60235,South America,Uruguay,Montevideo,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Estadio_Centenario_2021.jpg/150px-Estadio_Centenario_2021.jpg,Uruguay national football team,"['-34.89453925', '-56.15268409413207']"
119,Estádio José do Rego Maciel,60044,South America,Brazil,"Recife, Pernambuco",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Arruda_em_novembro_de_2013.JPG/150px-Arruda_em_novembro_de_2013.JPG,Santa Cruz FC,"['-8.0268093', '-34.8911966744522']"
120,Al-Bayt Stadium,60000,West Asia,Qatar,Al-Khor,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Al_Bayt_Stadium_architecture.jpg/150px-Al_Bayt_Stadium_architecture.jpg,,"['25.6521339', '51.487805473145755']"
121,Benjamin Mkapa National Stadium,60000,Africa,Tanzania,Dar es-Salaam,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Tanzania_National_Main_Stadium_Aerial.jpg/150px-Tanzania_National_Main_Stadium_Aerial.jpg,"Tanzania national football team, Young Africans","['-6.8535746500000005', '39.273293473702665']"
122,Hefei Olympic Sports Centre Stadium,60000,East Asia,China,"Hefei, Anhui",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Hefei_Olympic_Sports_Center_Stadium.jpg/150px-Hefei_Olympic_Sports_Center_Stadium.jpg,Anhui Jiufang,"['31.797877', '117.22261203081261']"
123,Jaber al-Ahmad International Stadium,60000,West Asia,Kuwait,Kuwait City,https://upload.wikimedia.org/wikipedia/en/thumb/1/18/Jaber_Al-Ahmad_International_Stadium_2019_local.png/150px-Jaber_Al-Ahmad_International_Stadium_2019_local.png,Kuwait national football team,"['29.27146495', '47.91877550267482']"
124,Hammadi Agrebi Stadium,60000,Africa,Tunisia,Tunis,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Mozambique-Tunisia_match_2009.jpg/150px-Mozambique-Tunisia_match_2009.jpg,Tunisia national football team,"['36.747771650000004', '10.273139986223581']"
125,Jawaharlal Nehru Stadium,60000,South Asia,India,New Delhi,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Jawaharlal_Nehru_Stadium%2C_New_Delhi.png/150px-Jawaharlal_Nehru_Stadium%2C_New_Delhi.png,,"['28.58337705', '77.23354040287734']"
126,Mogadishu Stadium,60000,Africa,Somalia,Mogadishu,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Mogadishustadium.jpg/150px-Mogadishustadium.jpg,Somalia national football team,"['2.06746715', '45.33546478903332']"
127,National Heroes Stadium,60000,Africa,Zambia,Lusaka,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Inauguration_of_Edgar_Lungu.jpg/150px-Inauguration_of_Edgar_Lungu.jpg,Zambian national football team,"['-15.369506699999999', '28.27374202223445']"
128,Odi Stadium,60000,Africa,South Africa,"Mabopane, Gauteng",https://upload.wikipedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,,"['-25.5216914', '28.040565090974667']"
129,Morodok Techo National Stadium,60000,Southeast Asia,Cambodia,Phnom Penh,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Morodok_Techo_National_Stadium.jpg/150px-Morodok_Techo_National_Stadium.jpg,Cambodia national football team,"['11.68297715', '104.87630782752696']"
130,Shenyang Olympic Sports Centre Stadium,60000,East Asia,China,"Shenyang, Liaoning",https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Shenyang_Olympic_Sports_Center_Stadium_drone_view_1.jpg/150px-Shenyang_Olympic_Sports_Center_Stadium_drone_view_1.jpg,,"['41.73911265', '123.45744203075556']"
131,Optus Stadium,60000,Oceania,Australia,"Perth, Western Australia",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Perth_Stadium_opening_210118_gnangarra-10.jpg/150px-Perth_Stadium_opening_210118_gnangarra-10.jpg,"Perth Glory FC, Fremantle Dockers, West Coast Eagles","['-31.9510448', '115.88907562766687']"
132,Estadio Monumental Isidro Romero Carbo,59283,South America,Ecuador,Guayaquil,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Estadio_Monumental_de_Barcelona.jpg/150px-Estadio_Monumental_de_Barcelona.jpg,Barcelona Sporting Club,"['-2.1858223499999996', '-79.92497004648283']"
133,Groupama Stadium,59186,Europe,France,Décines-Charpieu,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Stade_Lumi%C3%A8re.jpg/150px-Stade_Lumi%C3%A8re.jpg,Olympique Lyonnais,"['45.7653624', '4.9820543110736715']"
134,Chongqing Olympic Sports Centre Stadium,58680,East Asia,China,Chongqing,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Chongqing_Olympic_Stadium.jpg/150px-Chongqing_Olympic_Stadium.jpg,,"['29.52863975', '106.50216028949413']"
135,Stadion Narodowy,58580,Europe,Poland,Warsaw,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/National_Stadium_panorama.jpg/150px-National_Stadium_panorama.jpg,Poland national football team,"['52.2399367', '21.045287703666446']"
136,Stadio San Nicola,58270,Europe,Italy,"Bari, Apulia",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Nuoviseggiolinisannicola.jpg/150px-Nuoviseggiolinisannicola.jpg,SSC Bari,"['41.0847276', '16.840084897844584']"
137,Commanders Field,58000,North America,United States,"Landover, Maryland",https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/FedexField2014.jpg/150px-FedexField2014.jpg,Washington Commanders,"['38.9077002', '-76.86332608690218']"
138,Deutsche Bank Park,58000,Europe,Germany,Frankfurt,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Commerzbank-Arena_%28Haupttrib%C3%BCne%29.JPG/150px-Commerzbank-Arena_%28Haupttrib%C3%BCne%29.JPG,Eintracht Frankfurt,"['50.068610250000006', '8.645415384241646']"
139,Estadio La Cartuja de Sevilla,57619,Europe,Spain,Seville,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Panoramio_-_V%26A_Dudush_-_Estadio_Ol%C3%ADmpico_57_619.jpg/150px-Panoramio_-_V%26A_Dudush_-_Estadio_Ol%C3%ADmpico_57_619.jpg,,"['37.41723525', '-6.004613361716357']"
140,Carter–Finley Stadium,57583,North America,United States,"Raleigh, North Carolina",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Carter_Finley_Stadium_at_Sunset.jpg/150px-Carter_Finley_Stadium_at_Sunset.jpg,NC State Wolfpack football,"['35.800846449999995', '-78.71960451582763']"
141,Estadio Alberto J. Armando,57200,South America,Argentina,Buenos Aires,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/La_Bombonera.jpg/150px-La_Bombonera.jpg,CA Boca Juniors,"['-34.63551715', '-58.364916326853375']"
142,Volksparkstadion,57030,Europe,Germany,Hamburg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Volksparkstadion_Panorama.jpg/150px-Volksparkstadion_Panorama.jpg,Hamburger SV,"['53.5871535', '9.898705553686273']"
143,Estadio Mario Alberto Kempes,57000,South America,Argentina,Córdoba,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Estadio_Kempes_luego_de_finalizar_un_partido.jpg/150px-Estadio_Kempes_luego_de_finalizar_un_partido.jpg,"Talleres de Córdoba, some Belgrano de Córdoba matches.","['-31.368846849999997', '-64.24614507921008']"
144,Jinan Olympic Sports Centre Stadium,56808,East Asia,China,"Jinan, Shandong",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/JinanOlympic.JPG/150px-JinanOlympic.JPG,Shandong Taishan,"['36.65637625', '117.11023219400708']"
